"Rank","Club","Country","Level","Elo","From","To"
"1","Liverpool","ENG",1,1993.41796875,"2025-05-29","2025-06-12"
"2","Arsenal","ENG",1,1993.3404541,"2025-05-29","2025-06-12"
"3","Paris SG","FRA",1,1974.93762207,"2025-06-01","2025-06-12"
"4","Man City","ENG",1,1959.94421387,"2025-06-01","2025-06-12"
"5","Barcelona","ESP",1,1945.43041992,"2025-06-01","2025-06-12"
"6","Real Madrid","ESP",1,1936.12731934,"2025-06-01","2025-06-12"
"7","Inter","ITA",1,1933.2421875,"2025-06-01","2025-06-12"
"8","Bayern","GER",1,1918.99780273,"2025-05-18","2025-06-12"
"9","Chelsea","ENG",1,1902.8013916,"2025-05-29","2025-06-12"
"10","Aston Villa","ENG",1,1872.83935547,"2025-05-29","2025-06-12"
"11","Newcastle","ENG",1,1868.55273438,"2025-05-29","2025-06-12"
"12","Atletico","ESP",1,1855.34960938,"2025-05-29","2025-06-12"
"13","Leverkusen","GER",1,1848.78601074,"2025-05-18","2025-06-12"
"14","Atalanta","ITA",1,1842.22375488,"2025-06-01","2025-06-12"
"15","Napoli","ITA",1,1838.37182617,"2025-06-01","2025-06-12"
"16","Crystal Palace","ENG",1,1835.04040527,"2025-05-29","2025-06-12"
"17","Brighton","ENG",1,1827.12927246,"2025-05-29","2025-06-12"
"18","Roma","ITA",1,1819.65991211,"2025-06-01","2025-06-12"
"19","Dortmund","GER",1,1818.35009766,"2025-05-26","2025-06-12"
"20","Brentford","ENG",1,1811.27441406,"2025-06-01","2025-06-12"
"21","Bournemouth","ENG",1,1808.09545898,"2025-06-01","2025-06-12"
"22","Juventus","ITA",1,1805.84667969,"2025-06-01","2025-06-12"
"23","Forest","ENG",1,1802.86816406,"2025-05-29","2025-06-12"
"24","Man United","ENG",1,1799.46337891,"2025-05-29","2025-06-12"
"25","PSV","NED",1,1797.03527832,"2025-05-19","2025-06-12"
"26","Everton","ENG",1,1793.98010254,"2025-05-29","2025-06-12"
"27","Benfica","POR",1,1791.48046875,"2025-06-01","2025-06-12"
"28","Bilbao","ESP",1,1789.30895996,"2025-06-01","2025-06-12"
"29","Sporting","POR",1,1788.60021973,"2025-06-01","2025-06-12"
"30","Milan","ITA",1,1786.90795898,"2025-06-01","2025-06-12"
"31","Villarreal","ESP",1,1785.54626465,"2025-05-29","2025-06-12"
"32","Lille","FRA",1,1782.04833984,"2025-06-01","2025-06-12"
"33","Fulham","ENG",1,1781.7208252,"2025-06-01","2025-06-12"
"34","Tottenham","ENG",1,1774.00695801,"2025-06-01","2025-06-12"
"35","Lazio","ITA",1,1770.40869141,"2025-06-01","2025-06-12"
"36","Monaco","FRA",1,1762.12561035,"2025-06-01","2025-06-12"
"37","Fiorentina","ITA",1,1756.97180176,"2025-06-01","2025-06-12"
"38","Marseille","FRA",1,1756.52758789,"2025-06-01","2025-06-12"
"39","Bologna","ITA",1,1750.82434082,"2025-06-01","2025-06-12"
"40","West Ham","ENG",1,1750.13269043,"2025-05-29","2025-06-12"
"41","Brugge","BEL",1,1747.07775879,"2025-05-29","2025-06-12"
"42","Frankfurt","GER",1,1745.75793457,"2025-05-29","2025-06-12"
"43","Lyon","FRA",1,1744.62866211,"2025-06-01","2025-06-12"
"44","Betis","ESP",1,1742.14355469,"2025-06-01","2025-06-12"
"45","Feyenoord","NED",1,1738.36352539,"2025-06-01","2025-06-12"
"46","Wolves","ENG",1,1735.76257324,"2025-05-29","2025-06-12"
"47","St Gillis","BEL",1,1730.55700684,"2025-05-26","2025-06-12"
"48","Burnley","ENG",2,1729.59790039,"2025-05-29","2025-06-12"
"49","Leeds","ENG",2,1722.36035156,"2025-05-29","2025-06-12"
"50","Nice","FRA",1,1720.62438965,"2025-06-01","2025-06-12"
"51","Stuttgart","GER",1,1719.31469727,"2025-06-01","2025-06-12"
"52","RB Leipzig","GER",1,1716.37438965,"2025-06-01","2025-06-12"
"53","Strasbourg","FRA",1,1707.00744629,"2025-06-01","2025-06-12"
"54","Mainz","GER",1,1706.18273926,"2025-06-01","2025-06-12"
"55","Galatasaray","TUR",1,1701.14611816,"2025-06-01","2025-06-12"
"56","Osasuna","ESP",1,1697.22412109,"2025-05-29","2025-06-12"
"57","Slavia Praha","CZE",1,1694.71618652,"2025-05-25","2025-06-12"
"58","Lens","FRA",1,1693.22021484,"2025-06-01","2025-06-12"
"59","Celta","ESP",1,1689.27087402,"2025-06-01","2025-06-12"
"60","Freiburg","GER",1,1684.3404541,"2025-05-27","2025-06-12"
"61","Valencia","ESP",1,1679.41589355,"2025-06-01","2025-06-12"
"62","Brest","FRA",1,1679.1048584,"2025-06-01","2025-06-12"
"63","Porto","POR",1,1678.19543457,"2025-05-27","2025-06-12"
"64","Werder","GER",1,1677.4543457,"2025-05-27","2025-06-12"
"65","Torino","ITA",1,1675.24279785,"2025-06-01","2025-06-12"
"66","Fenerbahce","TUR",1,1673.91918945,"2025-06-01","2025-06-12"
"67","Olympiakos","GRE",1,1670.36560059,"2025-05-25","2025-06-12"
"68","Sociedad","ESP",1,1667.3203125,"2025-06-01","2025-06-12"
"69","Genoa","ITA",1,1664.06433105,"2025-06-01","2025-06-12"
"70","Ajax","NED",1,1663.94873047,"2025-05-25","2025-06-12"
"71","Rennes","FRA",1,1663.48510742,"2025-06-01","2025-06-12"
"72","Celtic","SCO",1,1662.38671875,"2025-06-01","2025-06-12"
"73","Rayo Vallecano","ESP",1,1658.47595215,"2025-06-01","2025-06-12"
"74","Zenit","RUS",1,1654.94470215,"2025-05-25","2025-06-12"
"75","Toulouse","FRA",1,1653.90771484,"2025-06-01","2025-06-12"
"76","Braga","POR",1,1650.64880371,"2025-05-19","2025-06-12"
"77","Como","ITA",1,1648.34375,"2025-06-01","2025-06-12"
"78","Wolfsburg","GER",1,1645.72412109,"2025-05-29","2025-06-12"
"79","Alaves","ESP",1,1644.11938477,"2025-05-29","2025-06-12"
"80","Mallorca","ESP",1,1641.24829102,"2025-05-29","2025-06-12"
"81","Sevilla","ESP",1,1637.12207031,"2025-05-29","2025-06-12"
"82","Girona","ESP",1,1637.03479004,"2025-05-29","2025-06-12"
"83","Genk","BEL",1,1634.98864746,"2025-05-29","2025-06-12"
"84","Espanyol","ESP",1,1634.66186523,"2025-05-29","2025-06-12"
"85","Gladbach","GER",1,1632.47961426,"2025-05-26","2025-06-12"
"86","Auxerre","FRA",1,1629.10119629,"2025-06-01","2025-06-12"
"87","Alkmaar","NED",1,1626.27563477,"2025-06-01","2025-06-12"
"88","Getafe","ESP",1,1625.7598877,"2025-05-29","2025-06-12"
"89","Sheffield United","ENG",2,1622.27429199,"2025-06-01","2025-06-12"
"90","FC Kobenhavn","DEN",1,1621.64001465,"2025-06-01","2025-06-12"
"91","Udinese","ITA",1,1620.2565918,"2025-06-01","2025-06-12"
"92","Augsburg","GER",1,1618.65966797,"2025-05-29","2025-06-12"
"93","Leicester","ENG",1,1618.56958008,"2025-05-29","2025-06-12"
"94","Union Berlin","GER",1,1617.16491699,"2025-05-23","2025-06-12"
"95","Bodoe Glimt","NOR",1,1616.89807129,"2025-06-02","2025-06-12"
"96","Viktoria Plzen","CZE",1,1616.74377441,"2025-06-02","2025-06-12"
"97","FC Krasnodar","RUS",1,1614.2935791,"2025-06-02","2025-06-12"
"98","Levante","ESP",2,1610.2755127,"2025-06-02","2025-06-12"
"99","Hoffenheim","GER",1,1605.84057617,"2025-06-02","2025-06-12"
"100","Parma","ITA",1,1602.97509766,"2025-06-01","2025-06-12"
"None","Cagliari","ITA",1,1602.2791748,"2025-06-01","2025-06-12"
"None","Leganes","ESP",1,1599.02893066,"2025-05-29","2025-06-12"
"None","Sassuolo","ITA",2,1596.90930176,"2025-06-01","2025-06-12"
"None","Midtjylland","DEN",1,1595.68408203,"2025-05-26","2025-06-12"
"None","Lorient","FRA",2,1595.59033203,"2025-06-01","2025-06-12"
"None","Verona","ITA",1,1595.0670166,"2025-06-01","2025-06-12"
"None","Ipswich","ENG",1,1591.06835938,"2025-05-29","2025-06-12"
"None","Reims","FRA",1,1589.82861328,"2025-06-01","2025-06-12"
"None","Rangers","SCO",1,1587.43994141,"2025-05-18","2025-06-12"
"None","Nantes","FRA",1,1586.95227051,"2025-06-01","2025-06-12"
"None","Anderlecht","BEL",1,1586.59558105,"2025-05-26","2025-06-12"
"None","CSKA Moskva","RUS",1,1586.48449707,"2025-05-25","2025-06-12"
"None","Elche","ESP",2,1584.90905762,"2025-06-02","2025-06-12"
"None","Utrecht","NED",1,1584.75134277,"2025-05-19","2025-06-12"
"None","Lecce","ITA",1,1583.05078125,"2025-06-01","2025-06-12"
"None","Crvena Zvezda","SRB",1,1580.66638184,"2025-05-25","2025-06-12"
"None","Oviedo","ESP",2,1580.16174316,"2025-06-08","2025-06-11"
"None","Empoli","ITA",1,1577.66174316,"2025-06-01","2025-06-12"
"None","St Pauli","GER",1,1577.10717773,"2025-05-18","2025-06-12"
"None","Twente","NED",1,1576.95092773,"2025-05-26","2025-06-12"
"None","Guimaraes","POR",1,1576.27685547,"2025-05-18","2025-06-12"
"None","Metz","FRA",2,1575.77490234,"2025-06-01","2025-06-12"
"None","Spartak Moskva","RUS",1,1575.06225586,"2025-05-25","2025-06-12"
"None","Sparta Praha","CZE",1,1573.58947754,"2025-05-25","2025-06-12"
"None","Las Palmas","ESP",1,1563.5020752,"2025-05-29","2025-06-12"
"None","Dynamo Moskva","RUS",1,1559.70556641,"2025-05-25","2025-06-12"
"None","Salzburg","AUT",1,1558.85534668,"2025-05-25","2025-06-12"
"None","Heidenheim","GER",1,1558.72509766,"2025-05-18","2025-06-12"
"None","Venezia","ITA",1,1557.56433105,"2025-06-01","2025-06-12"
"None","Southampton","ENG",1,1555.23706055,"2025-05-29","2025-06-12"
"None","Steaua","ROM",1,1555.09423828,"2025-05-24","2025-06-12"
"None","Hamburg","GER",2,1554.54528809,"2025-05-19","2025-06-12"
"None","Le Havre","FRA",1,1553.54150391,"2025-06-01","2025-06-12"
"None","Sturm Graz","AUT",1,1553.17565918,"2025-05-25","2025-06-12"
"None","M Tel Aviv","ISR",1,1552.51538086,"2025-05-25","2025-06-12"
"None","Koeln","GER",2,1552.19458008,"2025-05-19","2025-06-12"
"None","Mirandes","ESP",2,1550.91564941,"2025-06-09","2025-06-12"
"None","Almeria","ESP",2,1549.62207031,"2025-06-08","2025-06-11"
"None","Brondby","DEN",1,1547.92456055,"2025-05-26","2025-06-12"
"None","Sunderland","ENG",2,1547.09912109,"2025-05-29","2025-06-12"
"None","Coventry","ENG",2,1546.32958984,"2025-05-29","2025-06-12"
"None","PAOK","GRE",1,1544.87280273,"2025-05-12","2025-06-12"
"None","Paris FC","FRA",2,1543.13879395,"2025-06-01","2025-06-12"
"None","Cremonese","ITA",2,1541.86706543,"2025-06-02","2025-06-12"
"None","Bochum","GER",1,1539.73632812,"2025-05-18","2025-06-12"
"None","Antwerp","BEL",1,1538.63525391,"2025-05-30","2025-06-12"
"None","Angers","FRA",1,1538.24450684,"2025-06-01","2025-06-12"
"None","West Brom","ENG",2,1537.86376953,"2025-05-29","2025-06-12"
"None","Holstein","GER",1,1537.13269043,"2025-05-18","2025-06-12"
"None","Rakow","POL",1,1536.67834473,"2025-05-25","2025-06-12"
"None","Panathinaikos","GRE",1,1535.48669434,"2025-05-12","2025-06-12"
"None","Santander","ESP",2,1533.90368652,"2025-06-09","2025-06-12"
"None","Saint-Etienne","FRA",1,1532.84277344,"2025-06-01","2025-06-12"
"None","Lech","POL",1,1532.71276855,"2025-05-25","2025-06-12"
"None","Shakhtar","UKR",1,1531.97888184,"2025-05-25","2025-06-12"
"None","Pisa","ITA",2,1531.47094727,"2025-06-01","2025-06-12"
"None","Middlesbrough","ENG",2,1531.10986328,"2025-05-29","2025-06-12"
"None","Granada","ESP",2,1530.5970459,"2025-06-02","2025-06-12"
"None","Lok Moskva","RUS",1,1528.8885498,"2025-05-25","2025-06-12"
"None","Viking","NOR",1,1527.25927734,"2025-06-02","2025-06-12"
"None","Dinamo Zagreb","CRO",1,1527.02502441,"2025-05-26","2025-06-12"
"None","Charleroi","BEL",1,1526.21923828,"2025-05-30","2025-06-12"
"None","Banik Ostrava","CZE",1,1525.75,"2025-05-25","2025-06-12"
"None","Millwall","ENG",2,1525.46105957,"2025-05-29","2025-06-12"
"None","Eibar","ESP",2,1525.10351562,"2025-06-02","2025-06-12"
"None","Bristol City","ENG",2,1523.47839355,"2025-05-29","2025-06-12"
"None","Spezia","ITA",2,1523.25891113,"2025-06-02","2025-06-12"
"None","Basel","SUI",1,1523.00378418,"2025-05-25","2025-06-12"
"None","Hammarby","SWE",1,1522.63391113,"2025-06-01","2025-06-12"
"None","Elfsborg","SWE",1,1522.04467773,"2025-06-01","2025-06-12"
"None","Malmoe","SWE",1,1521.03540039,"2025-06-02","2025-06-12"
"None","Cadiz","ESP",2,1520.49926758,"2025-06-02","2025-06-12"
"None","Monza","ITA",1,1519.14404297,"2025-06-01","2025-06-12"
"None","AEK","GRE",1,1516.50268555,"2025-05-12","2025-06-12"
"None","Nordsjaelland","DEN",1,1515.36816406,"2025-05-26","2025-06-12"
"None","Beer-Sheva","ISR",1,1514.36657715,"2025-05-25","2025-06-12"
"None","Swansea","ENG",2,1512.79675293,"2025-05-29","2025-06-12"
"None","Blackburn","ENG",2,1512.61303711,"2025-05-29","2025-06-12"
"None","Famalicao","POR",1,1511.265625,"2025-05-17","2025-06-12"
"None","Dynamo Kyiv","UKR",1,1507.01538086,"2025-05-25","2025-06-12"
"None","Besiktas","TUR",1,1506.78662109,"2025-06-02","2025-06-12"
"None","Norwich","ENG",2,1506.62939453,"2025-05-29","2025-06-12"
"None","Duesseldorf","GER",2,1505.92370605,"2025-05-19","2025-06-12"
"None","Nijmegen","NED",1,1505.06628418,"2025-05-23","2025-06-12"
"None","Elversberg","GER",2,1501.50231934,"2025-05-19","2025-06-12"
"None","Huesca","ESP",2,1501.46826172,"2025-06-02","2025-06-12"
"None","Karabakh Agdam","AZE",0,1500.27087402,"2025-01-31","2025-06-12"
"None","Ferencvaros","HUN",1,1499.69836426,"2025-05-25","2025-06-12"
"None","Go Ahead Eagles","NED",1,1498.68859863,"2025-05-19","2025-06-12"
"None","Young Boys","SUI",1,1498.67150879,"2025-05-25","2025-06-12"
"None","Luton","ENG",2,1498.03381348,"2025-05-29","2025-06-12"
"None","Brann","NOR",1,1497.65393066,"2025-06-02","2025-06-12"
"None","Albacete","ESP",2,1496.50891113,"2025-06-02","2025-06-12"
"None","Sparta Rotterdam","NED",1,1493.50878906,"2025-05-19","2025-06-12"
"None","Mjaellby","SWE",1,1493.09875488,"2025-06-02","2025-06-12"
"None","QPR","ENG",2,1492.79797363,"2025-05-29","2025-06-12"
"None","Hull","ENG",2,1492.23266602,"2025-05-29","2025-06-12"
"None","Paderborn","GER",2,1491.97253418,"2025-05-19","2025-06-12"
"None","Legia","POL",1,1490.91125488,"2025-05-25","2025-06-12"
"None","Montpellier","FRA",1,1490.47045898,"2025-06-01","2025-06-12"
"None","Sheffield Weds","ENG",2,1488.4473877,"2025-05-29","2025-06-12"
"None","Jablonec","CZE",1,1488.07983398,"2025-05-25","2025-06-12"
"None","Gijon","ESP",2,1487.59094238,"2025-06-01","2025-06-12"
"None","Karlsruhe","GER",2,1485.91186523,"2025-05-19","2025-06-12"
"None","Jagiellonia","POL",1,1485.85668945,"2025-05-25","2025-06-12"
"None","Santa Clara","POR",1,1484.93884277,"2025-05-18","2025-06-12"
"None","Mechelen","BEL",1,1484.82263184,"2025-05-25","2025-06-12"
"None","Gent","BEL",1,1483.28747559,"2025-05-26","2025-06-12"
"None","Pogon","POL",1,1482.17431641,"2025-05-25","2025-06-12"
"None","Wolfsberg","AUT",1,1480.16235352,"2025-05-25","2025-06-12"
"None","Rosenborg","NOR",1,1479.81652832,"2025-06-02","2025-06-12"
"None","Portsmouth","ENG",2,1479.0802002,"2025-05-29","2025-06-12"
"None","CFR Cluj","ROM",1,1478.15344238,"2025-05-24","2025-06-12"
"None","AIK","SWE",1,1477.94763184,"2025-06-02","2025-06-12"
"None","Stoke","ENG",2,1476.37194824,"2025-05-29","2025-06-12"
"None","Austria Wien","AUT",1,1476.18188477,"2025-05-25","2025-06-12"
"None","Burgos","ESP",2,1473.21582031,"2025-06-01","2025-06-12"
"None","Hannover","GER",2,1472.90942383,"2025-05-19","2025-06-12"
"None","Razgrad","BUL",1,1472.64929199,"2025-05-27","2025-06-12"
"None","Watford","ENG",2,1472.01135254,"2025-05-29","2025-06-12"
"None","Arouca","POR",1,1471.92883301,"2025-05-18","2025-06-12"
"None","Frosinone","ITA",2,1470.95251465,"2025-06-01","2025-06-12"
"None","Estoril","POR",1,1470.43786621,"2025-05-18","2025-06-12"
"None","Trabzonspor","TUR",1,1470.06970215,"2025-05-31","2025-06-12"
"None","Westerlo","BEL",1,1470.00036621,"2025-05-25","2025-06-12"
"None","Preston","ENG",2,1469.05175781,"2025-05-29","2025-06-12"
"None","Servette","SUI",1,1468.03637695,"2025-05-25","2025-06-12"
"None","Palermo","ITA",2,1467.56665039,"2025-06-01","2025-06-12"
"None","Derby","ENG",2,1467.56420898,"2025-05-29","2025-06-12"
"None","Valladolid","ESP",1,1467.32788086,"2025-05-29","2025-06-12"
"None","Cordoba","ESP",2,1467.14416504,"2025-06-02","2025-06-12"
"None","Randers","DEN",1,1466.17724609,"2025-06-02","2025-06-12"
"None","Guingamp","FRA",2,1465.81945801,"2025-06-01","2025-06-12"
"None","Zwolle","NED",1,1462.80810547,"2025-05-19","2025-06-12"
"None","Castellon","ESP",2,1461.7409668,"2025-05-31","2025-06-12"
"None","Silkeborg","DEN",1,1461.40356445,"2025-06-02","2025-06-12"
"None","Catanzaro","ITA",2,1461.07910156,"2025-06-01","2025-06-12"
"None","Oxford","ENG",2,1460.5098877,"2025-05-29","2025-06-12"
"None","Djurgarden","SWE",1,1460.47021484,"2025-06-02","2025-06-12"
"None","Moreirense","POR",1,1460.36975098,"2025-05-18","2025-06-12"
"None","Casa Pia","POR",1,1459.93005371,"2025-05-17","2025-06-12"
"None","Depor","ESP",2,1458.74157715,"2025-06-02","2025-06-12"
"None","Molde","NOR",1,1458.12585449,"2025-06-02","2025-06-12"
"None","Magdeburg","GER",2,1458.11486816,"2025-05-19","2025-06-12"
"None","Bastia","FRA",2,1457.37207031,"2025-06-01","2025-06-12"
"None","Hertha","GER",2,1454.28503418,"2025-05-19","2025-06-12"
"None","Rostov","RUS",1,1454.07470703,"2025-05-25","2025-06-12"
"None","Juve Stabia","ITA",2,1452.53808594,"2025-06-01","2025-06-12"
"None","Cercle Brugge","BEL",1,1451.55505371,"2025-05-11","2025-06-12"
"None","Maccabi Haifa","ISR",1,1451.36315918,"2025-05-25","2025-06-12"
"None","Zaragoza","ESP",2,1450.09289551,"2025-05-31","2025-06-12"
"None","Rio Ave","POR",1,1450.0300293,"2025-05-17","2025-06-12"
"None","Bueyueksehir","TUR",1,1449.87182617,"2025-05-31","2025-06-12"
"None","Aarhus","DEN",1,1449.50964355,"2025-05-26","2025-06-12"
"None","Rubin Kazan","RUS",1,1449.19909668,"2025-05-25","2025-06-12"
"None","Malaga","ESP",2,1448.69714355,"2025-06-01","2025-06-12"
"None","Viborg","DEN",1,1447.69433594,"2025-05-25","2025-06-12"
"None","Lautern","GER",2,1446.17578125,"2025-05-19","2025-06-12"
"None","Paphos","CYP",0,1445.92211914,"2025-03-14","2025-06-12"
"None","St Truiden","BEL",1,1445.72253418,"2025-05-11","2025-06-12"
"None","Darmstadt","GER",2,1445.6685791,"2025-05-19","2025-06-12"
"None","Aris","GRE",1,1445.51269531,"2025-05-11","2025-06-12"
"None","Heerenveen","NED",1,1445.41308594,"2025-05-23","2025-06-12"
"None","Suedtirol","ITA",2,1444.71264648,"2025-06-01","2025-06-12"
"None","Dunkerque","FRA",2,1443.93481445,"2025-06-01","2025-06-12"
"None","LASK","AUT",1,1443.68151855,"2025-06-02","2025-06-12"
"None","Plymouth","ENG",2,1442.89953613,"2025-05-29","2025-06-12"
"None","Rijeka","CRO",1,1442.31982422,"2025-05-26","2025-06-12"
"None","Troyes","FRA",2,1441.31298828,"2025-06-01","2025-06-12"
"None","Rodez","FRA",2,1440.45153809,"2025-06-01","2025-06-12"
"None","Salernitana","ITA",2,1440.10534668,"2025-06-01","2025-06-12"
"None","Bari","ITA",2,1439.38366699,"2025-06-01","2025-06-12"
"None","Laval","FRA",2,1436.7166748,"2025-06-01","2025-06-12"
"None","Samsunspor","TUR",1,1436.43029785,"2025-06-02","2025-06-12"
"None","Sampdoria","ITA",2,1436.16784668,"2025-06-01","2025-06-12"
"None","Rapid Wien","AUT",1,1436.13745117,"2025-06-02","2025-06-12"
"None","Hajduk","CRO",1,1435.51623535,"2025-05-26","2025-06-12"
"None","Annecy","FRA",2,1434.88366699,"2025-06-01","2025-06-12"
"None","Cardiff","ENG",2,1434.10437012,"2025-05-29","2025-06-12"
"None","Cesena","ITA",2,1433.63244629,"2025-06-01","2025-06-12"
"None","Standard","BEL",1,1433.52770996,"2025-05-25","2025-06-12"
"None","Gil Vicente","POR",1,1432.91479492,"2025-05-17","2025-06-12"
"None","Leuven","BEL",1,1431.72802734,"2025-05-25","2025-06-12"
"None","Hibernian","SCO",1,1429.87890625,"2025-05-18","2025-06-12"
"None","Nuernberg","GER",2,1428.50354004,"2025-05-19","2025-06-12"
"None","Tenerife","ESP",2,1428.20349121,"2025-06-02","2025-06-12"
"None","Hradec Kralove","CZE",1,1427.42712402,"2025-05-26","2025-06-12"
"None","Olimpija Ljubljana","SVN",1,1426.41101074,"2025-05-25","2025-06-12"
"None","Craiova","ROM",1,1424.82824707,"2025-05-25","2025-06-12"
"None","Brescia","ITA",2,1424.00292969,"2025-06-01","2025-06-12"
"None","Kasimpasa","TUR",1,1423.47302246,"2025-05-31","2025-06-12"
"None","Larnaca","CYP",0,1423.25964355,"2025-03-14","2025-06-12"
"None","Puskas Akademia","HUN",1,1423.1427002,"2025-05-25","2025-06-12"
"None","Piast Gliwice","POL",1,1422.59057617,"2025-05-25","2025-06-12"
"None","Modena","ITA",2,1422.21081543,"2025-06-01","2025-06-12"
"None","Omonia","CYP",0,1421.9876709,"2025-03-14","2025-06-12"
"None","Sittard","NED",1,1420.51062012,"2025-05-19","2025-06-12"
"None","Slovan Liberec","CZE",1,1420.46691895,"2025-05-12","2025-06-12"
"None","Eldense","ESP",2,1419.25427246,"2025-06-02","2025-06-12"
"None","Clermont","FRA",2,1418.82751465,"2025-06-01","2025-06-12"
"None","Grenoble","FRA",2,1418.68225098,"2025-06-01","2025-06-12"
"None","Mantova","ITA",2,1411.92858887,"2025-06-01","2025-06-12"
"None","Gornik","POL",1,1411.67602539,"2025-05-25","2025-06-12"
"None","Carrarese","ITA",2,1411.25683594,"2025-06-01","2025-06-12"
"None","Groningen","NED",1,1410.41210938,"2025-05-19","2025-06-12"
"None","Nacional","POR",1,1410.2755127,"2025-05-18","2025-06-12"
"None","Heracles","NED",1,1409.36730957,"2025-05-19","2025-06-12"
"None","Schalke","GER",2,1408.4239502,"2025-05-19","2025-06-12"
