"Rank","Club","Country","Level","Elo","From","To"
"1","Liverpool","ENG",1,2001.82165527,"2024-12-27","2024-12-29"
"2","Inter","ITA",1,1990.84606934,"2024-12-24","2024-12-28"
"3","Arsenal","ENG",1,1984.52258301,"2024-12-28","2024-12-30"
"4","Real Madrid","ESP",1,1949.76184082,"2024-12-23","2024-12-30"
"5","Man City","ENG",1,1936.16235352,"2024-12-27","2024-12-29"
"6","Atalanta","ITA",1,1921.31152344,"2024-12-23","2024-12-28"
"7","Leverkusen","GER",1,1906.35351562,"2024-12-22","2024-12-30"
"8","Bayern","GER",1,1903.53625488,"2024-12-22","2024-12-30"
"9","Paris SG","FRA",1,1900.93969727,"2024-12-22","2024-12-30"
"10","Barcelona","ESP",1,1892.08911133,"2024-12-27","2024-12-30"
"11","Chelsea","ENG",1,1883.69445801,"2024-12-27","2024-12-30"
"12","Atletico","ESP",1,1865.86791992,"2024-12-22","2024-12-30"
"13","Juventus","ITA",1,1863.1394043,"2024-12-23","2024-12-29"
"14","Milan","ITA",1,1840.24963379,"2024-12-21","2024-12-29"
"15","Napoli","ITA",1,1833.14099121,"2024-12-22","2024-12-29"
"16","Newcastle","ENG",1,1829.31591797,"2024-12-27","2024-12-30"
"17","Lazio","ITA",1,1828.20593262,"2024-12-27","2024-12-28"
"18","Sporting","POR",1,1821.29101562,"2024-12-27","2024-12-29"
"19","PSV","NED",1,1816.71337891,"2024-12-23","2024-12-30"
"20","Lille","FRA",1,1815.86340332,"2024-12-22","2024-12-30"
"21","Dortmund","GER",1,1815.07446289,"2024-12-23","2024-12-30"
"22","Bilbao","ESP",1,1810.31091309,"2024-12-27","2024-12-30"
"23","Tottenham","ENG",1,1804.48974609,"2024-12-27","2024-12-29"
"24","Aston Villa","ENG",1,1802.54931641,"2024-12-27","2024-12-30"
"25","Benfica","POR",1,1797.92138672,"2024-12-24","2024-12-29"
"26","Porto","POR",1,1790.1619873,"2024-12-24","2024-12-28"
"27","Fiorentina","ITA",1,1786.5534668,"2024-12-24","2024-12-29"
"28","Bologna","ITA",1,1782.15917969,"2024-12-23","2024-12-30"
"29","Fulham","ENG",1,1773.47399902,"2024-12-27","2024-12-29"
"30","Bournemouth","ENG",1,1771.83496094,"2024-12-27","2024-12-29"
"31","Monaco","FRA",1,1771.27490234,"2024-12-23","2024-12-30"
"32","Man United","ENG",1,1767.68408203,"2024-12-27","2024-12-30"
"33","Marseille","FRA",1,1764.66650391,"2024-12-27","2024-12-30"
"34","Roma","ITA",1,1754.20727539,"2024-12-23","2024-12-29"
"35","Crystal Palace","ENG",1,1753.86010742,"2024-12-27","2024-12-29"
