"Round","Club_A","Club_B","Result_A","Result_B","Winner","Elo_A","Elo_B","Penalty"
1,"Newcastle","Ferencvaros",7,2,"Newcastle",1868.55273438,1499.69836426,""
1,"Napoli","Backa Topola",7,1,"Napoli",1838.37182617,1247.67456055,""
1,"Juventus","Wolfsberg",5,1,"Juventus",1805.84667969,1480.16235352,""
1,"Benfica","CSKA Moskva",3,2,"Benfica",1791.48046875,1586.48449707,""
1,"Lille","Hoffenheim",4,1,"Lille",1782.04833984,1605.84057617,""
1,"Wolves","Winterthur",3,1,"Wolves",1735.76257324,1337.91210938,""
1,"Werder","Lech",3,1,"Werder",1677.4543457,1532.71276855,""
1,"Fenerbahce","Panathinaikos",4,4.1,"Panathinaikos",1673.91918945,1535.48669434,"Penalty"
1,"Celtic","Razgrad",6,3,"Celtic",1662.38671875,1472.64929199,""
1,"Mallorca","Reims",2,5,"Reims",1641.24829102,1589.82861328,""
1,"Sevilla","Standard",4,1,"Sevilla",1637.12207031,1433.52770996,""
1,"Genk","Hammarby",3.1,3,"Genk",1634.98864746,1522.63391113,"Penalty"
1,"Alkmaar","Bravo",3,0,"Alkmaar",1626.27563477,1264.70251465,""
1,"FC Kobenhavn","Ruzomberok",5,4,"FC Kobenhavn",1621.64001465,1369.51293945,""
1,"Bodoe Glimt","M Tel Aviv",3,1,"Bodoe Glimt",1616.89807129,1552.51538086,""
1,"Viktoria Plzen","Rapid Bucuresti",3,4,"Rapid Bucuresti",1616.74377441,1375.25671387,""
2,"Newcastle","Napoli",0,2,"Napoli",1868.55273438,1838.37182617,""
2,"Juventus","Benfica",3,7,"Benfica",1805.84667969,1791.48046875,""
2,"Lille","Wolves",5,4,"Lille",1782.04833984,1735.76257324,""
2,"Werder","Celtic",5,1,"Werder",1677.4543457,1662.38671875,""
2,"Sevilla","Genk",3,1,"Sevilla",1637.12207031,1634.98864746,""
2,"Alkmaar","FC Kobenhavn",5,0,"Alkmaar",1626.27563477,1621.64001465,""
2,"Bodoe Glimt","Reims",3,1,"Bodoe Glimt",1616.89807129,1589.82861328,""
2,"Panathinaikos","Rapid Bucuresti",3,0,"Panathinaikos",1535.48669434,1375.25671387,""
3,"Napoli","Benfica",1,2,"Benfica",1838.37182617,1791.48046875,""
3,"Lille","Werder",5,3,"Lille",1782.04833984,1677.4543457,""
3,"Sevilla","Alkmaar",1,3,"Alkmaar",1637.12207031,1626.27563477,""
3,"Bodoe Glimt","Panathinaikos",3,2,"Bodoe Glimt",1616.89807129,1535.48669434,""
4,"Benfica","Lille",4.1,4,"Benfica",1791.48046875,1782.04833984,"Penalty"
4,"Alkmaar","Bodoe Glimt",4,3,"Alkmaar",1626.27563477,1616.89807129,""
5,"Benfica","Alkmaar",6,1,"Benfica",1791.48046875,1626.27563477,""
