"Club","Points","GF","GA","GD","Group","Europa","n_teams","Rank","Elo","Tilt","Pass"
"CSKA Moskva",63,70,29,41,"RUS",1,16,1,1586.48449707,1.2911982216844,0
"Spartak Moskva",59,57,23,34,"RUS",1,16,2,1575.06225586,1.32236387602836,0
"FC Krasnodar",58,54,27,27,"RUS",1,16,3,1614.2935791,1.26206846365931,0
"Zenit",54,59,31,28,"RUS",1,16,4,1654.94470215,1.26710378315883,0
"Dynamo Moskva",48,46,36,10,"RUS",1,16,5,1559.70556641,1.27304976078329,0
"Lok Moskva",46,47,32,15,"RUS",1,16,6,1528.8885498,1.31953971086732,0
"Rostov",41,32,29,3,"RUS",1,16,7,1454.07470703,1.28279123791292,0
"FC Khimki",40,49,66,-17,"RUS",1,16,8,1332.08056641,1.30755240359272,0
"Akron Togliatti",38,37,55,-18,"RUS",1,16,9,1351.15979004,1.28074219261509,0
"Nizhny Novgorod",37,40,48,-8,"RUS",1,16,10,1328.875,1.34688949946204,0
"Rubin Kazan",36,45,46,-1,"RUS",1,16,11,1449.19909668,1.29322461119104,0
"Terek Grozny",34,37,45,-8,"RUS",1,16,12,1378.00061035,1.3508420753365,0
"Dynamo Makhachkala",28,35,50,-15,"RUS",1,16,13,1345.46643066,1.28965849079405,0
"Orenburg",28,33,60,-27,"RUS",1,16,14,1342.03637695,1.29020635366135,0
"Fakel Voronezh",28,31,60,-29,"RUS",1,16,15,1325.39428711,1.29766454137377,0
"Kryliya Sovetov",21,27,62,-35,"RUS",1,16,16,1389.4510498,1.25182464576506,0
"Inter",75,80,34,46,"ITA",2,20,1,1933.2421875,1.46052631578947,4
"Atalanta",75,74,40,34,"ITA",2,20,2,1842.22375488,1.5,4
"Fiorentina",68,62,47,15,"ITA",2,20,3,1756.97180176,1.40789473684211,4
"Roma",67,72,43,29,"ITA",2,20,4,1819.65991211,1.46052631578947,4
"Juventus",66,55,37,18,"ITA",2,20,5,1805.84667969,1.11842105263158,4
"Napoli",63,74,43,31,"ITA",2,20,6,1838.37182617,1.35526315789474,4
