"Club_A","Club_B","Result_A","Result_B","Winner","Elo_A","Elo_B","Round","Stage","Penalty","seed"
"Liverpool","Steaua",7,0,"Liverpool",1993.41796875,1555.09423828,1,"Knockout","",1
"Arsenal","Lyon",4,1,"Arsenal",1993.3404541,1744.62866211,1,"Knockout","",1
"Paris SG","Lille",2,3,"Lille",1974.93762207,1782.04833984,1,"Knockout","",1
"Man City","Varazdin",5,0,"Man City",1959.94421387,1347.17712402,1,"Knockout","",1
"Barcelona","Feyenoord",2,4,"Feyenoord",1945.43041992,1738.36352539,1,"Knockout","",1
"Real Madrid","Brugge",4,4.2,"Brugge",1936.12731934,1747.07775879,1,"Knockout","Penalty",1
"Inter","Milan",1,5,"Milan",1933.2421875,1786.90795898,1,"Knockout","",1
"Bayern","Betis",7,2,"Bayern",1918.99780273,1742.14355469,1,"Knockout","",1
"Chelsea","St Gillis",5,0,"Chelsea",1902.8013916,1730.55700684,1,"Knockout","",1
"Atletico","Olimpija Ljubljana",7,0,"Atletico",1855.34960938,1426.41101074,1,"Knockout","",1
"Leverkusen","Stuttgart",5,3,"Leverkusen",1848.78601074,1719.31469727,1,"Knockout","",1
"Roma","Sturm Graz",5,2,"Roma",1819.65991211,1553.17565918,1,"Knockout","",1
"Dortmund","Slavia Praha",4,1,"Dortmund",1818.35009766,1694.71618652,1,"Knockout","",1
"PSV","Karabakh Agdam",6,1,"PSV",1797.03527832,1500.27087402,1,"Knockout","",1
"Benfica","Fiorentina",3,2,"Benfica",1791.48046875,1756.97180176,1,"Knockout","",1
"Sporting","FC Krasnodar",1,4,"FC Krasnodar",1788.60021973,1614.2935791,1,"Knockout","",1
"Milan","FC Krasnodar",4,1,"Milan",1786.90795898,1614.2935791,2,"Knockout","",1
"Arsenal","Atletico",4,2,"Arsenal",1993.3404541,1855.34960938,2,"Knockout","",1
"Liverpool","Roma",6,1,"Liverpool",1993.41796875,1819.65991211,2,"Knockout","",1
"PSV","Man City",3,3.2,"Man City",1797.03527832,1959.94421387,2,"Knockout","Penalty",1
"Leverkusen","Feyenoord",4,2,"Leverkusen",1848.78601074,1738.36352539,2,"Knockout","",1
"Brugge","Benfica",2,4,"Benfica",1747.07775879,1791.48046875,2,"Knockout","",1
"Chelsea","Lille",2,1,"Chelsea",1902.8013916,1782.04833984,2,"Knockout","",1
"Dortmund","Bayern",1,7,"Bayern",1818.35009766,1918.99780273,2,"Knockout","",1
