"Club","Points","GF","GA","GD","Group","Europa","UL","n_teams","Rank","Elo","Tilt","Pass","seed"
"Crvena Zvezda",88,88,6,82,"SRB",1,2,16,1,1580.66638184,1.29866004768541,0,1
"Backa Topola",68,63,32,31,"SRB",1,2,16,2,1247.67456055,1.39101742294952,0,1
"Partizan",63,60,31,29,"SRB",1,2,16,3,1354.12451172,1.28789898886726,0,1
"Novi Sad",49,43,38,5,"SRB",1,2,16,4,1246.3963623,1.46821760805194,0,1
"Kragujevac",47,42,31,11,"SRB",1,2,16,5,1218.0826416,1.43430388251704,0,1
"Mladost Lucani",46,36,35,1,"SRB",1,2,16,6,1135.52954102,1.17136994695657,0,1
"Tekstilac Odzaci",45,31,42,-11,"SRB",1,2,16,7,1044.80822754,1.23787333052032,0,1
"Cukaricki",41,30,31,-1,"SRB",1,2,16,8,1185.57104492,1.24111055137403,0,1
"Zeleznicar Pancevo",38,30,39,-9,"SRB",1,2,16,9,1139.875,1.22491809988066,0,1
"Zlatibor",37,33,46,-13,"SRB",1,2,16,10,1108.2800293,1.26819316254562,0,1
"Nis",35,29,37,-8,"SRB",1,2,16,11,1094.78491211,1.19248077033843,0,1
"Krusevac",33,30,46,-16,"SRB",1,2,16,12,1095.61401367,1.15125396898585,0,1
"IMT",27,31,50,-19,"SRB",1,2,16,13,1137.99658203,1.50871665456283,0,1
"OFK",27,27,49,-22,"SRB",1,2,16,14,1137.03930664,1.30173956196933,0,1
"Novi Pazar",20,26,50,-24,"SRB",1,2,16,15,1200.30761719,1.2962365828533,0,1
"Jedinstvo Ub",16,29,65,-36,"SRB",1,2,16,16,1021.19543457,1.48692906224236,0,1
"Barcelona",94,87,17,70,"ESP",2,0,20,1,1945.43041992,1.61842105263158,4,1
"Real Madrid",83,76,37,39,"ESP",2,0,20,2,1936.12731934,1.48684210526316,4,1
"Atletico",76,67,34,33,"ESP",2,0,20,3,1855.34960938,1.48684210526316,4,1
"Betis",68,52,37,15,"ESP",2,0,20,4,1742.14355469,1.22368421052632,4,1
"Villarreal",60,61,46,15,"ESP",2,0,20,5,1785.54626465,1.71052631578947,4,1
"Celta",60,56,51,5,"ESP",2,0,20,6,1689.27087402,1.35526315789474,4,1
"Valencia",58,47,39,8,"ESP",2,0,20,7,1679.41589355,1.11842105263158,4,1
"Girona",56,58,62,-4,"ESP",2,0,20,8,1637.03479004,1.72368421052632,4,1
"Alaves",54,51,50,1,"ESP",2,0,20,9,1644.11938477,1.07894736842105,4,1
"Osasuna",53,51,50,1,"ESP",2,0,20,10,1697.22412109,1.32894736842105,4,1
"Bilbao",51,55,48,7,"ESP",2,0,20,11,1789.30895996,1.28947368421053,4,1
"Sevilla",49,43,54,-11,"ESP",2,0,20,12,1637.12207031,1.34210526315789,4,1
"Sociedad",47,45,49,-4,"ESP",2,0,20,13,1667.3203125,1.18421052631579,4,1
"Espanyol",45,37,51,-14,"ESP",2,0,20,14,1634.66186523,1.17919172136955,4,1
"Las Palmas",40,39,58,-19,"ESP",2,0,20,15,1563.5020752,1.05263157894737,4,1
"Getafe",40,42,72,-30,"ESP",2,0,20,16,1625.7598877,1.26315789473684,4,1
"Rayo Vallecano",38,38,52,-14,"ESP",2,0,20,17,1658.47595215,1.01315789473684,4,1
"Mallorca",34,38,57,-19,"ESP",2,0,20,18,1641.24829102,1.01315789473684,4,1
"Leganes",34,36,59,-23,"ESP",2,0,20,19,1599.02893066,1.4586588433442,4,1
"Valladolid",24,23,79,-56,"ESP",2,0,20,20,1467.32788086,1.41462283572158,4,1
"Olympiakos",67,65,16,49,"GRE",2,2,14,1,1670.36560059,1.58333333333333,0,1
"AEK",62,56,20,36,"GRE",2,2,14,2,1516.50268555,1.59722222222222,0,1
"Panathinaikos",61,62,21,41,"GRE",2,2,14,3,1535.48669434,1.65277777777778,0,1
"Aris",45,51,33,18,"GRE",2,2,14,4,1445.51269531,1.31944444444444,0,1
"PAOK",44,55,38,17,"GRE",2,2,14,5,1544.87280273,1.68055555555556,0,1
"Levadeiakos",35,37,42,-5,"GRE",2,2,14,6,1325.5090332,1.23879736067492,0,1
"Atromitos",34,33,41,-8,"GRE",2,2,14,7,1330.74499512,1.34926470588235,0,1
"Panetolikos",28,36,50,-14,"GRE",2,2,14,8,1291.86462402,1.28860294117647,0,1
"OFI",26,24,46,-22,"GRE",2,2,14,9,1302.8425293,1.30514705882353,0,1
"Kalithea",24,34,48,-14,"GRE",2,2,14,10,1247.60107422,1.33841853578263,0,1
"Lamia",23,33,59,-26,"GRE",2,2,14,11,1158.99023438,1.69444444444444,0,1
"NFC Volos",22,22,43,-21,"GRE",2,2,14,12,1262.30859375,1.38694852941176,0,1
"Panserraikos",22,31,55,-24,"GRE",2,2,14,13,1238.79187012,1.36580882352941,0,1
"Asteras Tripolis",22,23,50,-27,"GRE",2,2,14,14,1305.14465332,1.43566176470588,0,1
"PSV",87,99,27,72,"NED",1,1,18,1,1797.03527832,1.94117647058824,2,1
"Feyenoord",83,87,21,66,"NED",1,1,18,2,1738.36352539,1.73529411764706,2,1
"Alkmaar",71,66,35,31,"NED",1,1,18,3,1626.27563477,1.60294117647059,2,1
"Twente",67,63,43,20,"NED",1,1,18,4,1576.95092773,1.54411764705882,2,1
"Ajax",59,81,49,32,"NED",1,1,18,5,1663.94873047,1.98529411764706,2,1
"Groningen",51,49,55,-6,"NED",1,1,18,6,1410.41210938,1.37410011571954,2,1
"Heracles",48,52,54,-2,"NED",1,1,18,7,1409.36730957,1.69117647058824,2,1
"Sparta Rotterdam",48,47,50,-3,"NED",1,1,18,8,1493.50878906,1.45588235294118,2,1
"Zwolle",44,55,58,-3,"NED",1,1,18,9,1462.80810547,1.64705882352941,2,1
"Waalwijk",44,45,54,-9,"NED",1,1,18,10,1378.1862793,1.38235294117647,2,1
"Go Ahead Eagles",43,44,53,-9,"NED",1,1,18,11,1498.68859863,1.36764705882353,2,1
"Heerenveen",38,41,60,-19,"NED",1,1,18,12,1445.41308594,1.80882352941176,2,1
"Utrecht",37,41,55,-14,"NED",1,1,18,13,1584.75134277,1.41176470588235,2,1
"Sittard",36,48,64,-16,"NED",1,1,18,14,1420.51062012,1.36764705882353,2,1
"Nijmegen",33,51,71,-20,"NED",1,1,18,15,1505.06628418,1.75,2,1
"Breda",24,28,64,-36,"NED",1,1,18,16,1351.14208984,1.38147027308974,2,1
"Almere",23,27,67,-40,"NED",1,1,18,17,1349.17346191,1.35294117647059,2,1
"Willem II",16,24,68,-44,"NED",1,1,18,18,1324.44934082,1.35697196274424,2,1
"Sturm Graz",44,37,15,22,"AUT",1,1,12,1,1553.17565918,1.36422413056778,1,1
"Austria Wien",44,25,13,12,"AUT",1,1,12,2,1476.18188477,1.29303451869871,1,1
"Salzburg",43,36,21,15,"AUT",1,1,12,3,1558.85534668,1.16297921224525,1,1
"Wolfsberg",42,35,16,19,"AUT",1,1,12,4,1480.16235352,1.2833878963235,1,1
"Hartberg",34,29,26,3,"AUT",1,1,12,5,1376.58984375,1.26163678937116,1,1
"Rapid Wien",29,25,23,2,"AUT",1,1,12,6,1436.13745117,1.18108867051404,1,1
"GAK",28,25,29,-4,"AUT",1,1,12,7,1271.65209961,1.45868334545408,1,1
"LASK",25,27,33,-6,"AUT",1,1,12,8,1443.68151855,1.32700549009372,1,1
"BW Linz",23,19,34,-15,"AUT",1,1,12,9,1339.27709961,1.26057100462897,1,1
"Klagenfurt",17,19,31,-12,"AUT",1,1,12,10,1264.28808594,1.20890783514476,1,1
"Wattens",16,23,38,-15,"AUT",1,1,12,11,1276.56164551,1.42078678059832,1,1
"Altach",16,19,40,-21,"AUT",1,1,12,12,1278.7043457,1.24574799690083,1,1
"Celtic",53,61,18,43,"SCO",1,2,12,1,1662.38671875,1.64473684210526,0,1
"Rangers",48,56,22,34,"SCO",1,2,12,2,1587.43994141,1.56578947368421,0,1
"St Mirren",34,31,25,6,"SCO",1,2,12,3,1367.06835938,1.28947368421053,0,1
"Hearts",30,41,38,3,"SCO",1,2,12,4,1406.42919922,1.26315789473684,0,1
"Aberdeen",29,31,35,-4,"SCO",1,2,12,5,1338.04016113,1.31578947368421,0,1
"St Johnstone",27,24,33,-9,"SCO",1,2,12,6,1221.51623535,1.09210526315789,0,1
